"Story","Title","Result","Date","Stability","Duration (s)"
"Create product data driven test","Data Driven test for adding multiple products to the application","ERROR","2023-01-09T21:47:34.764Z[Europe/London]","0.0","158.14"
"Product CURD test","This will create new product","ERROR","2023-01-09T21:47:36.398Z[Europe/London]","0.0","4.18"
"Product CURD test","Verify if the product was added to application","ERROR","2023-01-09T21:47:40.581Z[Europe/London]","0.0","4.13"
"Product CURD test","This will update product","ERROR","2023-01-09T21:47:44.710Z[Europe/London]","0.0","4.11"
"Product CURD test","This will delete product","ERROR","2023-01-09T21:47:48.819Z[Europe/London]","0.0","4.11"
"Store CURD test","This will create new store","ERROR","2023-01-09T21:47:53.013Z[Europe/London]","0.0","4.14"
"Store CURD test","Verify if the store has been added to application","ERROR","2023-01-09T21:47:57.155Z[Europe/London]","0.0","4.11"
"Store CURD test","This will update store information","ERROR","2023-01-09T21:48:01.268Z[Europe/London]","0.0","4.1"
"Store CURD test","This will delete Store","ERROR","2023-01-09T21:48:05.365Z[Europe/London]","0.0","4.11"
"Tags test","Provide a status code when incorrect HTTP method is used to across resource","ERROR","2023-01-09T21:48:09.529Z[Europe/London]","0.0","4.1"
"Tags test","Provide a status code when incorrect HTTP method is used to across resource","ERROR","2023-01-09T21:48:13.632Z[Europe/London]","0.0","0.02"
