"Story","Title","Result","Date","Stability","Duration (s)"
"Create product data driven test","Data Driven test for adding multiple products to the application","ERROR","2023-01-09T21:47:34.764Z[Europe/London]","0.0","158.14"
"Product CURD test","This will create new product","ERROR","2023-01-09T21:47:36.398Z[Europe/London]","0.0","4.18"
"Product CURD test","Verify if the product was added to application","ERROR","2023-01-09T21:47:40.581Z[Europe/London]","0.0","4.13"
"Product CURD test","This will update product","ERROR","2023-01-09T21:47:44.710Z[Europe/London]","0.0","4.11"
"Product CURD test","This will delete product","ERROR","2023-01-09T21:47:48.819Z[Europe/London]","0.0","4.11"
"Store CURD test","This will create new store","ERROR","2023-01-09T21:47:53.013Z[Europe/London]","0.0","4.14"
"Store CURD test","Verify if the store has been added to application","ERROR","2023-01-09T21:47:57.155Z[Europe/London]","0.0","4.11"
"Store CURD test","This will update store information","ERROR","2023-01-09T21:48:01.268Z[Europe/London]","0.0","4.1"
"Store CURD test","This will delete Store","ERROR","2023-01-09T21:48:05.365Z[Europe/London]","0.0","4.11"
"Tags test","Provide a status code when incorrect HTTP method is used to across resource","ERROR","2023-01-09T21:48:09.529Z[Europe/London]","0.0","4.1"
"Tags test","Provide a status code when incorrect HTTP method is used to across resource","ERROR","2023-01-09T21:48:13.632Z[Europe/London]","0.0","0.02"
"Testing different request on product section of Bestbuy","Creating new product","ERROR","2023-01-09T21:48:13.728Z[Europe/London]","0.0","4.26"
"Testing different request on product section of Bestbuy","Verify product is created by getting product info by given Id","ERROR","2023-01-09T21:48:18.082Z[Europe/London]","0.0","4.1"
"Testing different request on product section of Bestbuy","Updating newly added product detail","ERROR","2023-01-09T21:48:22.210Z[Europe/London]","0.0","4.13"
"Testing different request on product section of Bestbuy","Deleting store by given Id","ERROR","2023-01-09T21:48:26.374Z[Europe/London]","0.0","4.12"
"Testing different request on product section of Bestbuy","CURD TEST","ERROR","2023-01-09T21:48:30.536Z[Europe/London]","0.0","4.13"
"Testing different request on store section of Bestbuy","Creating store data","ERROR","2023-01-09T21:48:34.727Z[Europe/London]","0.0","4.11"
"Testing different request on store section of Bestbuy","Verify store is created by getting Store info by given Id","ERROR","2023-01-09T21:48:38.889Z[Europe/London]","0.0","4.11"
"Testing different request on store section of Bestbuy","Updating newly added store detail","ERROR","2023-01-09T21:48:43.066Z[Europe/London]","0.0","4.13"
"Testing different request on store section of Bestbuy","Deleting store by given Id","ERROR","2023-01-09T21:48:47.235Z[Europe/London]","0.0","4.1"
"Testing different request on store section of Bestbuy","CURD TEST","ERROR","2023-01-09T21:48:51.382Z[Europe/London]","0.0","4.12"
