"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different request on product section of Bestbuy","Creating new product","SUCCESS","2023-01-10T21:48:24.093Z[Europe/London]","0.0","0.32"
"Testing different request on product section of Bestbuy","Verify product is created by getting product info by given Id","SUCCESS","2023-01-10T21:48:24.597Z[Europe/London]","0.0","0.07"
"Testing different request on product section of Bestbuy","Updating newly added product detail","SUCCESS","2023-01-10T21:48:24.714Z[Europe/London]","0.0","0.15"
"Testing different request on product section of Bestbuy","Deleting store by given Id","SUCCESS","2023-01-10T21:48:24.978Z[Europe/London]","0.0","0.18"
"Testing different request on product section of Bestbuy","CURD TEST","SUCCESS","2023-01-10T21:48:25.232Z[Europe/London]","0.0","0.34"
"Testing different request on store section of Bestbuy","Creating store data","SUCCESS","2023-01-10T21:48:25.628Z[Europe/London]","0.0","0.08"
"Testing different request on store section of Bestbuy","Verify store is created by getting Store info by given Id","SUCCESS","2023-01-10T21:48:25.812Z[Europe/London]","0.0","0.09"
"Testing different request on store section of Bestbuy","Updating newly added store detail","SUCCESS","2023-01-10T21:48:26.064Z[Europe/London]","0.0","0.09"
"Testing different request on store section of Bestbuy","Deleting store by given Id","SUCCESS","2023-01-10T21:48:26.261Z[Europe/London]","0.0","0.11"
"Testing different request on store section of Bestbuy","CURD TEST","SUCCESS","2023-01-10T21:48:26.451Z[Europe/London]","0.0","0.21"
