"Story","Title","Result","Date","Stability","Duration (s)"
"Create store data driven test","Data Driven test for adding multiple products to the application","SUCCESS","2023-01-10T21:48:20.310Z[Europe/London]","0.0","207.03"
"Create product data driven test","Data Driven test for adding multiple products to the application","SUCCESS","2023-01-10T21:48:20.815Z[Europe/London]","0.0","158.86"
"Store CURD test","This will create new store","SUCCESS","2023-01-10T21:48:22.215Z[Europe/London]","0.0","1.27"
"Product CURD test","This will create new product","SUCCESS","2023-01-10T21:48:23.174Z[Europe/London]","0.0","1.1"
"Store CURD test","Verify if the store has been added to application","SUCCESS","2023-01-10T21:48:23.493Z[Europe/London]","0.0","0.18"
"Store CURD test","This will update store information","SUCCESS","2023-01-10T21:48:23.673Z[Europe/London]","0.0","0.15"
"Store CURD test","This will delete Store","SUCCESS","2023-01-10T21:48:23.821Z[Europe/London]","0.0","0.14"
"Product CURD test","Verify if the product was added to application","SUCCESS","2023-01-10T21:48:24.273Z[Europe/London]","0.0","0.13"
"Product CURD test","This will update product","SUCCESS","2023-01-10T21:48:24.406Z[Europe/London]","0.0","0.13"
"Product CURD test","This will delete product","SUCCESS","2023-01-10T21:48:24.542Z[Europe/London]","0.0","0.13"
"Tags test","Provide a status code when incorrect HTTP method is used to across resource","SUCCESS","2023-01-10T21:48:24.798Z[Europe/London]","0.0","0.32"
"Tags test","Provide a status code when incorrect HTTP method is used to across resource","ERROR","2023-01-10T21:48:25.117Z[Europe/London]","0.0","0.15"
"Testing different request on product section of Bestbuy","Creating new product","SUCCESS","2023-01-10T21:48:24.093Z[Europe/London]","0.0","0.32"
"Testing different request on product section of Bestbuy","Verify product is created by getting product info by given Id","SUCCESS","2023-01-10T21:48:24.597Z[Europe/London]","0.0","0.07"
"Testing different request on product section of Bestbuy","Updating newly added product detail","SUCCESS","2023-01-10T21:48:24.714Z[Europe/London]","0.0","0.15"
"Testing different request on product section of Bestbuy","Deleting store by given Id","SUCCESS","2023-01-10T21:48:24.978Z[Europe/London]","0.0","0.18"
"Testing different request on product section of Bestbuy","CURD TEST","SUCCESS","2023-01-10T21:48:25.232Z[Europe/London]","0.0","0.34"
"Testing different request on store section of Bestbuy","Creating store data","SUCCESS","2023-01-10T21:48:25.628Z[Europe/London]","0.0","0.08"
"Testing different request on store section of Bestbuy","Verify store is created by getting Store info by given Id","SUCCESS","2023-01-10T21:48:25.812Z[Europe/London]","0.0","0.09"
"Testing different request on store section of Bestbuy","Updating newly added store detail","SUCCESS","2023-01-10T21:48:26.064Z[Europe/London]","0.0","0.09"
"Testing different request on store section of Bestbuy","Deleting store by given Id","SUCCESS","2023-01-10T21:48:26.261Z[Europe/London]","0.0","0.11"
"Testing different request on store section of Bestbuy","CURD TEST","SUCCESS","2023-01-10T21:48:26.451Z[Europe/London]","0.0","0.21"
